,0,1,2,3,4,5,6
99,of,IN,B-PP,o,o,o,o
100,interest,NN,B-NP,o,o,o,o
101,8,CD,I-NP,o,o,o,o
102,.,.,o,o,o,o,o
103,,,,,,,
104,60,CD,B-NP,o,o,o,o
105,%,NN,I-NP,o,o,o,o
106,.,.,o,o,o,o,o
107,*,SYM,I-NP,o,o,o,o
108,Maturity,NN,B-NP,o,o,o,o
109,value,NN,I-NP,o,o,o,o
110,of,IN,B-PP,o,o,o,o
111,a,DT,B-NP,o,o,o,o
112,certificate,NN,I-NP,o,o,o,o
113,of,IN,B-PP,o,o,o,o
114,INR.100,NNP,B-NP,B-MONEY,U-MONEY,o,o
115,/,SYM,I-NP,o,o,o,o
116,-,:,o,o,o,o,o
117,purchased,VBN,B-VP,o,o,o,o
118,on,IN,B-PP,o,o,o,o
119,or,CC,I-PP,o,o,o,o
120,after,IN,I-PP,o,o,o,o
121,1,CD,B-NP,o,o,o,o
122,.,.,o,o,o,o,o
123,,,,,,,
124,4,CD,B-NP,o,o,o,o
125,.,.,o,o,o,o,o
126,,,,,,,
127,2012,CD,B-NP,B-YEAR,U-YEAR,o,o
128,shall,MD,B-VP,o,o,o,o
129,be,VB,I-VP,o,o,o,o
130,INR.,NNP,B-NP,B-MONEY,B-MONEY,o,o
131,152,CD,I-NP,I-MONEY,L-MONEY,o,o
132,.,.,o,o,o,o,o
133,,,,,,,
134,35,CD,B-NP,o,o,o,o
135,after,IN,B-PP,o,o,o,o
136,5,NN,B-NP,B-PERIOD,B-PERIOD,B-COUNT,o
137,years,NNS,I-NP,I-PERIOD,L-PERIOD,o,o
138,.,.,o,o,o,o,o
139,,,,,,,
140,NSC,NNP,B-NP,o,o,o,o
141,IX,CD,I-NP,o,o,o,o
142,Issue,NN,I-NP,o,o,o,o
143,,,,,,,
144,*,SYM,o,o,o,o,o
145,No,DT,B-NP,o,o,o,o
146,maximum,JJ,I-NP,o,o,o,o
147,limit,NN,I-NP,o,o,o,o
148,for,IN,B-PP,o,o,o,o
149,investment.,JJ,B-NP,o,o,o,o
150,*,SYM,I-NP,o,o,o,o
151,INR.,NNP,B-NP,B-MONEY,B-MONEY,o,o
152,100,CD,I-NP,I-MONEY,L-MONEY,o,o
153,/,SYM,I-NP,o,o,o,o
154,-,:,o,o,o,o,o
155,grows,VBZ,B-VP,o,o,o,o
156,to,TO,B-PP,o,o,o,o
157,INR,NNP,B-NP,B-MONEY,B-MONEY,o,o
158,234,CD,I-NP,I-MONEY,L-MONEY,o,o
159,.,.,o,o,o,o,o
160,,,,,,,
161,35,CD,B-NP,o,o,o,o
162,after,IN,B-PP,o,o,o,o
163,10,CD,B-NP,B-PERIOD,B-PERIOD,B-COUNT,o
164,years.,CD,I-NP,I-PERIOD,L-PERIOD,o,o
165,*,SYM,I-NP,o,o,o,o
166,Minimum,NNP,B-NP,o,o,o,o
167,INR.,NNP,I-NP,B-MONEY,B-MONEY,o,o
168,100,CD,I-NP,I-MONEY,L-MONEY,o,o
169,/,SYM,I-NP,o,o,o,o
170,-,:,o,o,o,o,o
171,No,DT,B-NP,o,o,o,o
172,maximum,JJ,I-NP,o,o,o,o
173,limit,NN,I-NP,o,o,o,o
174,available,JJ,B-ADJP,o,o,o,o
175,in,IN,B-PP,o,o,o,o
176,denominations,NNS,B-NP,o,o,o,o
177,of,IN,B-PP,o,o,o,o
178,INR.,NNP,B-NP,B-MONEY,B-MONEY,o,o
179,100,CD,I-NP,I-MONEY,L-MONEY,o,o
180,/,SYM,I-NP,o,o,o,o
181,-,:,o,o,o,o,o
182,",",",",o,o,o,o,o
183,500,CD,B-NP,B-MONEY,U-MONEY,o,o
184,/,SYM,I-NP,o,o,o,o
185,-,:,o,o,o,o,o
186,",",",",o,o,o,o,o
187,1000,CD,B-NP,B-MONEY,U-MONEY,o,o
188,/,SYM,I-NP,o,o,o,o
189,-,:,o,o,o,o,o
190,",",",",o,o,o,o,o
191,5000,CD,B-NP,B-MONEY,U-MONEY,o,o
192,/,SYM,I-NP,o,o,o,o
193,-,:,o,o,o,o,o
194,&,CC,I-NP,o,o,o,o
195,INR.,NNP,I-NP,B-MONEY,B-MONEY,o,o
196,"10,000",CD,I-NP,I-MONEY,L-MONEY,o,o
197,/,SYM,I-NP,o,o,o,o
198,-.,CD,I-NP,o,o,o,o
199,*,SYM,I-NP,o,o,o,o
200,A,DT,B-NP,o,o,o,o
201,single,JJ,I-NP,o,o,o,o
202,holder,NN,I-NP,o,o,o,o
203,type,NN,I-NP,B-ARTIFACT,B-ARTIFACT,o,o
204,certificate,NN,I-NP,I-ARTIFACT,L-ARTIFACT,o,o
205,can,MD,B-VP,o,o,o,o
206,be,VB,I-VP,o,o,o,o
207,purchased,VBN,I-VP,o,o,o,o
208,by,IN,B-PP,o,o,o,o
209,an,DT,B-NP,o,o,o,o
210,adult,NN,I-NP,o,o,o,o
211,for,IN,B-PP,o,o,o,o
212,himself,PRP,B-NP,o,o,o,o
213,or,CC,B-PP,o,o,o,o
214,on,IN,B-PP,o,o,o,o
215,behalf,NN,B-NP,o,o,o,o
216,of,IN,B-PP,o,o,o,o
217,a,DT,B-NP,o,o,o,o
218,minor,JJ,I-NP,o,o,o,o
219,or,CC,I-NP,o,o,o,o
220,to,TO,B-PP,o,o,o,o
221,a,DT,B-NP,o,o,o,o
222,minor.,CD,I-NP,o,o,o,o
223,*,SYM,I-NP,o,o,o,o
224,Rate,NNP,B-NP,o,o,o,o
225,of,IN,B-PP,o,o,o,o
226,interest,NN,B-NP,o,o,o,o
227,8,CD,I-NP,o,o,o,o
228,.,.,o,o,o,o,o
229,,,,,,,
230,90,CD,B-NP,o,o,o,o
231,%,NN,I-NP,o,o,o,o
232,.,.,o,o,o,o,o
233,*,SYM,I-NP,o,o,o,o
234,Maturity,NN,B-NP,o,o,o,o
235,value,NN,I-NP,o,o,o,o
236,of,IN,B-PP,o,o,o,o
237,a,DT,B-NP,o,o,o,o
238,certificate,NN,I-NP,o,o,o,o
239,of,IN,B-PP,o,o,o,o
240,INR.100,NNP,B-NP,B-MONEY,U-MONEY,o,o
241,/,SYM,I-NP,o,o,o,o
242,-,:,o,o,o,o,o
243,purchased,VBN,B-VP,o,o,o,o
244,on,IN,B-PP,o,o,o,o
245,or,CC,I-PP,o,o,o,o
246,after,IN,I-PP,o,o,o,o
247,1,CD,B-NP,o,o,o,o
248,.,.,o,o,o,o,o
249,,,,,,,
250,4,CD,B-NP,o,o,o,o
251,.,.,o,o,o,o,o
252,,,,,,,
253,2012,CD,B-NP,B-YEAR,U-YEAR,o,o
254,shall,MD,B-VP,o,o,o,o
255,be,VB,I-VP,o,o,o,o
256,INR.,NNP,B-NP,B-MONEY,B-MONEY,o,o
257,238,CD,I-NP,I-MONEY,L-MONEY,o,o
258,.,.,o,o,o,o,o
259,,,,,,,
260,87,CD,B-NP,o,o,o,o
261,after,IN,B-PP,o,o,o,o
262,10,CD,B-NP,B-PERIOD,B-PERIOD,B-COUNT,o
263,years,NNS,I-NP,I-PERIOD,L-PERIOD,o,o
264,.,.,o,o,o,o,o
265,,,,,,,
266,Buy,VB,B-VP,o,o,o,o
267,National,NNP,B-NP,B-ARTIFACT,B-ARTIFACT,o,o
268,Savings,NNP,I-NP,I-ARTIFACT,I-ARTIFACT,o,o
269,Certificates,NNS,I-NP,I-ARTIFACT,L-ARTIFACT,o,o
270,(,(,o,o,o,o,o
271,NSCs,NNP,I-NP,B-ARTIFACT,U-ARTIFACT,o,o
272,),SYM,I-NP,o,o,o,o
273,every,DT,B-NP,o,o,o,o
274,month,NN,I-NP,o,o,o,o
275,for,IN,B-PP,o,o,o,o
276,Five,CD,B-NP,B-PERIOD,B-PERIOD,B-COUNT,o
277,years,NNS,I-NP,I-PERIOD,L-PERIOD,o,o
278,–,VBP,B-VP,o,o,o,o
279,Re-invest,NNP,B-NP,o,o,o,o
280,on,IN,B-PP,o,o,o,o
281,maturity,NN,B-NP,o,o,o,o
282,and,CC,I-NP,o,o,o,o
283,relax,VB,B-VP,o,o,o,o
284,-,:,o,o,o,o,o
285,On,IN,B-PP,o,o,o,o
286,retirement,NN,B-NP,o,o,o,o
287,it,PRP,B-NP,o,o,o,o
288,will,MD,B-VP,o,o,o,o
289,fetch,VB,I-VP,o,o,o,o
290,you,PRP,B-NP,o,o,o,o
291,monthly,JJ,B-NP,o,o,o,o
292,pension,NN,I-NP,o,o,o,o
293,as,IN,B-PP,o,o,o,o
294,the,DT,B-NP,o,o,o,o
295,NSC,NNP,I-NP,B-ARTIFACT,U-ARTIFACT,o,o
296,matures,VBZ,B-VP,o,o,o,o
297,.,.,o,o,o,o,o
298,,,,,,,
299,URL,NNP,B-NP,o,o,o,o
300,:,:,o,o,o,o,o
301,http,NN,B-NP,o,o,o,o
302,:,:,o,o,o,o,o
303,/,SYM,B-NP,o,o,o,o
304,/,SYM,I-NP,o,o,o,o
305,mhrd.gov.in,JJ,I-NP,o,o,o,o
306,/,SYM,I-NP,o,o,o,o
307,node,NN,I-NP,o,o,o,o
308,/,SYM,I-NP,o,o,o,o
309,16,CD,I-NP,o,o,o,o
310,Time,NNP,I-NP,o,o,o,o
311,:,:,o,o,o,o,o
312,2,CD,B-NP,B-TIME,U-TIME,o,o
313,.,.,o,o,o,o,o
314,,,,,,,
315,15,CD,B-NP,B-TIME,B-TIME,o,o
316,P.M,NNP,I-NP,I-TIME,L-TIME,o,o
317,The,DT,B-NP,o,o,o,o
318,essence,NN,I-NP,o,o,o,o
319,of,IN,B-PP,o,o,o,o
320,Human,NNP,B-NP,o,o,o,o
321,Resource,NNP,I-NP,o,o,o,o
322,Development,NNP,I-NP,o,o,o,o
323,is,VBZ,B-VP,o,o,o,o
324,education,NN,B-NP,o,o,o,o
325,",",",",o,o,o,o,o
326,which,WDT,B-NP,o,o,o,o
327,plays,VBZ,B-VP,o,o,o,o
328,a,DT,B-NP,o,o,o,o
329,significant,JJ,I-NP,o,o,o,o
330,and,CC,I-NP,o,o,o,o
331,remedial,JJ,I-NP,o,o,o,o
332,role,NN,I-NP,o,o,o,o
333,in,IN,B-PP,o,o,o,o
334,balancing,VBG,B-VP,o,o,o,o
335,the,DT,B-NP,o,o,o,o
336,socio-economic,JJ,I-NP,o,o,o,o
337,fabric,NN,I-NP,o,o,o,o
338,of,IN,B-PP,o,o,o,o
339,the,DT,B-NP,o,o,o,o
340,Country,NNP,I-NP,o,o,o,o
341,.,.,o,o,o,o,o
342,,,,,,,
343,Since,IN,B-PP,o,o,o,o
344,citizens,NNS,B-NP,o,o,o,o
345,of,IN,B-PP,o,o,o,o
346,India,NNP,B-NP,B-GPE,U-GPE,o,o
347,are,VBP,B-VP,o,o,o,o
348,its,PRP$,B-NP,o,o,o,o
349,most,RBS,I-NP,o,o,o,o
350,valuable,JJ,I-NP,o,o,o,o
351,resource,NN,I-NP,o,o,o,o
352,",",",",o,o,o,o,o
353,our,PRP$,B-NP,o,o,o,o
354,billion-strong,JJ,I-NP,o,o,o,o
355,nation,NN,I-NP,o,o,o,o
356,needs,VBZ,B-VP,o,o,o,o
357,the,DT,B-NP,o,o,o,o
358,nurture,NN,I-NP,o,o,o,o
359,and,CC,I-NP,o,o,o,o
360,care,NN,I-NP,o,o,o,o
361,in,IN,B-PP,o,o,o,o
362,the,DT,B-NP,o,o,o,o
363,form,NN,I-NP,o,o,o,o
364,of,IN,B-PP,o,o,o,o
365,basic,JJ,B-NP,o,o,o,o
366,education,NN,I-NP,o,o,o,o
367,to,TO,B-VP,o,o,o,o
368,achieve,VB,I-VP,o,o,o,o
369,a,DT,B-NP,o,o,o,o
370,better,JJR,I-NP,o,o,o,o
371,quality,NN,I-NP,o,o,o,o
372,of,IN,B-PP,o,o,o,o
373,life.,CD,B-NP,o,o,o,o
374,This,DT,B-NP,o,o,o,o
375,warrants,VBZ,B-VP,o,o,o,o
376,an,DT,B-NP,o,o,o,o
377,all-round,JJ,I-NP,o,o,o,o
378,development,NN,I-NP,o,o,o,o
379,of,IN,B-PP,o,o,o,o
380,our,PRP$,B-NP,o,o,o,o
381,citizens,NNS,I-NP,o,o,o,o
382,",",",",o,o,o,o,o
383,which,WDT,B-NP,o,o,o,o
384,can,MD,B-VP,o,o,o,o
385,be,VB,I-VP,o,o,o,o
386,achieved,VBN,I-VP,o,o,o,o
387,by,IN,B-PP,o,o,o,o
388,building,VBG,B-VP,o,o,o,o
389,strong,JJ,B-NP,o,o,o,o
390,foundations,NNS,I-NP,o,o,o,o
391,in,IN,B-PP,o,o,o,o
392,education,NN,B-NP,o,o,o,o
393,.,.,o,o,o,o,o
394,,,,,,,
395,In,IN,B-PP,o,o,o,o
396,pursuance,NN,B-NP,o,o,o,o
397,of,IN,B-PP,o,o,o,o
398,this,DT,B-NP,o,o,o,o
399,mission,NN,I-NP,o,o,o,o
400,",",",",o,o,o,o,o
401,the,DT,B-NP,o,o,o,o
402,Ministry,NNP,I-NP,B-ORG,B-ORG,o,o
403,of,IN,B-PP,I-ORG,I-ORG,o,o
404,Human,NNP,B-NP,I-ORG,I-ORG,o,o
405,Resource,NNP,I-NP,I-ORG,I-ORG,o,o
406,Development,NNP,I-NP,I-ORG,L-ORG,o,o
407,(,(,o,o,o,o,o
408,MHRD,NNP,B-NP,B-ORG,U-ORG,o,o
409,),SYM,I-NP,o,o,o,o
410,was,VBD,B-VP,o,o,o,o
411,created,VBN,I-VP,o,o,o,o
412,on,IN,B-PP,o,o,o,o
413,September,NNP,B-NP,B-DATE,B-DATE,B-MONTH,o
414,26,CD,I-NP,I-DATE,I-DATE,o,o
415,",",",",o,I-DATE,I-DATE,o,o
416,1985,CD,I-NP,I-DATE,L-DATE,B-YEAR,o
417,",",",",o,o,o,o,o
418,through,IN,B-PP,o,o,o,o
419,the,DT,B-NP,o,o,o,o
420,174th,JJ,I-NP,B-COUNT,U-COUNT,o,o
421,amendment,NN,I-NP,o,o,o,o
422,to,TO,B-PP,o,o,o,o
423,the,DT,B-NP,o,o,o,o
424,Government,NNP,I-NP,B-ORG,B-ORG,o,o
425,of,IN,B-PP,I-ORG,I-ORG,o,o
426,India,NNP,B-NP,I-ORG,L-ORG,B-NATION,o
427,(,(,o,o,o,o,o
428,Allocation,NN,B-NP,o,o,o,o
429,of,IN,B-PP,o,o,o,o
430,Business,NNP,B-NP,o,o,o,o
431,),SYM,I-NP,o,o,o,o
432,Rules,NNP,B-NP,o,o,o,o
433,",",",",o,o,o,o,o
434,1961,CD,B-NP,B-YEAR,U-YEAR,o,o
435,.,.,o,o,o,o,o
436,,,,,,,
437,Currently,RB,B-ADVP,o,o,o,o
438,",",",",o,o,o,o,o
439,the,DT,B-NP,o,o,o,o
440,MHRD,NNP,I-NP,B-ORG,U-ORG,o,o
441,works,NNS,I-NP,o,o,o,o
442,through,IN,B-PP,o,o,o,o
443,two,CD,B-NP,B-COUNT,U-COUNT,o,o
444,departments,NNS,I-NP,o,o,o,o
445,:,:,o,o,o,o,o
446,*,SYM,B-LST,o,o,o,o
447,Department,NNP,B-NP,B-ORG,B-ORG,o,o
448,of,IN,B-PP,I-ORG,I-ORG,o,o
449,School,NNP,B-NP,I-ORG,I-ORG,o,o
450,Education,NNP,I-NP,I-ORG,I-ORG,o,o
451,&,CC,I-NP,I-ORG,I-ORG,o,o
452,Literacy,NN,I-NP,I-ORG,L-ORG,o,o
453,,,,,,,
454,*,SYM,o,o,o,o,o
455,Department,NNP,B-NP,B-ORG,B-ORG,o,o
456,of,IN,B-PP,I-ORG,I-ORG,o,o
457,Higher,JJR,B-NP,I-ORG,I-ORG,o,o
458,Education,NNP,I-NP,I-ORG,L-ORG,o,o
459,,,,,,,
460,While,IN,B-SBAR,o,o,o,o
461,the,DT,B-NP,o,o,o,o
462,Department,NNP,I-NP,B-ORG,B-ORG,o,o
463,of,IN,B-PP,I-ORG,I-ORG,o,o
464,School,NNP,B-NP,I-ORG,I-ORG,o,o
465,Education,NNP,I-NP,I-ORG,I-ORG,o,o
466,&,CC,I-NP,I-ORG,I-ORG,o,o
467,Literacy,NN,I-NP,I-ORG,L-ORG,o,o
468,is,VBZ,B-VP,o,o,o,o
469,responsible,JJ,B-ADJP,o,o,o,o
470,for,IN,B-PP,o,o,o,o
471,development,NN,B-NP,o,o,o,o
472,of,IN,B-PP,o,o,o,o
473,school,NN,B-NP,o,o,o,o
474,education,NN,I-NP,o,o,o,o
475,and,CC,I-NP,o,o,o,o
476,literacy,NN,B-NP,o,o,o,o
477,in,IN,B-PP,o,o,o,o
478,the,DT,B-NP,o,o,o,o
479,country,NN,I-NP,o,o,o,o
480,",",",",o,o,o,o,o
481,the,DT,B-NP,o,o,o,o
482,Department,NNP,I-NP,B-ORG,B-ORG,o,o
483,of,IN,B-PP,I-ORG,I-ORG,o,o
484,Higher,JJR,B-NP,I-ORG,I-ORG,o,o
485,Education,NNP,I-NP,I-ORG,L-ORG,o,o
486,takes,VBZ,B-VP,o,o,o,o
487,care,NN,B-NP,o,o,o,o
488,of,IN,B-PP,o,o,o,o
489,what,WP,B-NP,o,o,o,o
490,is,VBZ,B-VP,o,o,o,o
491,one,CD,B-NP,o,o,o,o
492,of,IN,B-PP,o,o,o,o
493,the,DT,B-NP,o,o,o,o
494,largest,JJS,I-NP,o,o,o,o
495,Higher,JJR,B-NP,o,o,o,o
496,Education,NNP,I-NP,o,o,o,o
497,systems,NNS,I-NP,o,o,o,o
498,of,IN,B-PP,o,o,o,o
499,the,DT,B-NP,o,o,o,o
500,world,NN,I-NP,o,o,o,o
501,",",",",o,o,o,o,o
502,just,RB,B-ADVP,o,o,o,o
503,after,IN,B-PP,o,o,o,o
504,the,DT,B-NP,o,o,o,o
505,United,NNP,I-NP,B-GPE,B-GPE,o,o
506,States,NNPS,I-NP,I-GPE,L-GPE,o,o
507,and,CC,I-NP,o,o,o,o
508,China,NNP,B-NP,B-GPE,U-GPE,o,o
509,.,.,o,o,o,o,o
510,,,,,,,
511,The,DT,B-NP,o,o,o,o
512,Deptt,NNP,I-NP,B-ORG,B-ORG,o,o
513,of,IN,B-PP,I-ORG,I-ORG,o,o
514,SE,NNP,B-NP,I-ORG,I-ORG,o,o
515,&,CC,I-NP,I-ORG,I-ORG,o,o
516,L,NNP,I-NP,I-ORG,L-ORG,o,o
517,has,VBZ,B-VP,o,o,o,o
518,its,PRP$,B-NP,o,o,o,o
519,eyes,NNS,I-NP,o,o,o,o
520,set,VBN,B-VP,o,o,o,o
521,on,IN,B-PP,o,o,o,o
522,the,DT,B-NP,o,o,o,o
523,“,NN,I-NP,o,o,o,o
524,universalisation,NN,I-NP,o,o,o,o
525,of,IN,B-PP,o,o,o,o
526,education,NN,B-NP,o,o,o,o
527,”,NN,I-NP,o,o,o,o
528,and,CC,I-NP,o,o,o,o
529,making,VBG,B-VP,o,o,o,o
530,better,JJR,B-NP,o,o,o,o
531,citizens,NNS,I-NP,o,o,o,o
532,out,IN,B-PP,o,o,o,o
533,of,IN,B-PP,o,o,o,o
534,our,PRP$,B-NP,o,o,o,o
535,young,JJ,I-NP,o,o,o,o
536,brigade,NN,I-NP,o,o,o,o
537,.,.,o,o,o,o,o
538,,,,,,,
539,For,IN,B-PP,o,o,o,o
540,this,DT,B-NP,o,o,o,o
541,",",",",o,o,o,o,o
542,various,JJ,B-NP,o,o,o,o
543,new,JJ,I-NP,o,o,o,o
544,schemes,NNS,I-NP,o,o,o,o
545,and,CC,I-NP,o,o,o,o
546,initiatives,NNS,I-NP,o,o,o,o
547,are,VBP,B-VP,o,o,o,o
548,taken,VBN,I-VP,o,o,o,o
549,up,IN,B-ADVP,o,o,o,o
550,regularly,RB,B-NP,o,o,o,o
551,and,CC,I-NP,o,o,o,o
552,recently,RB,I-NP,o,o,o,o
553,",",",",o,o,o,o,o
554,those,DT,B-NP,o,o,o,o
555,schemes,NNS,I-NP,o,o,o,o
556,and,CC,I-NP,o,o,o,o
557,initiatives,NNS,I-NP,o,o,o,o
558,have,VBP,B-VP,o,o,o,o
559,also,RB,I-VP,o,o,o,o
560,started,VBN,I-VP,o,o,o,o
561,paying,VBG,I-VP,o,o,o,o
562,dividends,NNS,B-NP,o,o,o,o
563,in,IN,B-PP,o,o,o,o
564,the,DT,B-NP,o,o,o,o
565,form,NN,I-NP,o,o,o,o
566,of,IN,B-PP,o,o,o,o
567,growing,VBG,B-NP,o,o,o,o
568,enrolment,NN,I-NP,o,o,o,o
569,in,IN,B-PP,o,o,o,o
570,schools,NNS,B-NP,o,o,o,o
571,.,.,o,o,o,o,o
572,,,,,,,
573,The,DT,B-NP,o,o,o,o
574,Deptt,NNP,I-NP,B-ORG,B-ORG,o,o
575,of,IN,B-PP,I-ORG,I-ORG,o,o
576,HE,PRP,B-NP,I-ORG,L-ORG,o,o
577,",",",",o,o,o,o,o
578,on,IN,B-PP,o,o,o,o
579,the,DT,B-NP,o,o,o,o
580,other,JJ,I-NP,o,o,o,o
581,hand,NN,I-NP,o,o,o,o
582,",",",",o,o,o,o,o
583,is,VBZ,B-VP,o,o,o,o
584,engaged,VBN,I-VP,o,o,o,o
585,in,IN,B-PP,o,o,o,o
586,bringing,VBG,B-VP,o,o,o,o
587,world,NN,B-NP,o,o,o,o
588,class,NN,I-NP,o,o,o,o
589,opportunities,NNS,I-NP,o,o,o,o
590,of,IN,B-PP,o,o,o,o
591,higher,JJR,B-NP,o,o,o,o
592,education,NN,I-NP,o,o,o,o
593,and,CC,I-NP,o,o,o,o
594,research,NN,B-NP,o,o,o,o
595,to,TO,B-PP,o,o,o,o
596,the,DT,B-NP,o,o,o,o
597,country,NN,I-NP,o,o,o,o
598,so,RB,B-SBAR,o,o,o,o
599,that,IN,I-SBAR,o,o,o,o
600,Indian,NNP,B-NP,B-NORP,B-NORP,o,o
601,students,NNS,I-NP,I-NORP,L-NORP,o,o
602,are,VBP,B-VP,o,o,o,o
603,not,RB,I-VP,o,o,o,o
604,finding,VBG,I-VP,o,o,o,o
605,lacking,VBG,I-VP,o,o,o,o
606,when,WRB,B-ADVP,o,o,o,o
607,facing,VBG,B-VP,o,o,o,o
608,an,DT,B-NP,o,o,o,o
609,international,JJ,I-NP,o,o,o,o
610,platform,NN,I-NP,o,o,o,o
611,.,.,o,o,o,o,o
612,,,,,,,
613,For,IN,B-PP,o,o,o,o
614,this,DT,B-NP,o,o,o,o
615,",",",",o,o,o,o,o
616,the,DT,B-NP,o,o,o,o
617,Government,NNP,I-NP,o,o,o,o
618,has,VBZ,B-VP,o,o,o,o
619,launched,VBN,I-VP,o,o,o,o
620,joint,JJ,B-NP,o,o,o,o
621,ventures,NNS,I-NP,o,o,o,o
622,and,CC,I-NP,o,o,o,o
623,signed,VBD,B-VP,o,o,o,o
624,MoUs,NNP,B-NP,o,o,o,o
625,to,TO,B-VP,o,o,o,o
626,help,VB,I-VP,o,o,o,o
627,the,DT,B-NP,o,o,o,o
628,Indian,NNP,I-NP,B-PERSON,B-PERSON,o,o
629,student,NN,I-NP,I-PERSON,L-PERSON,o,o
630,benefit,NN,I-NP,o,o,o,o
631,from,IN,B-PP,o,o,o,o
632,the,DT,B-NP,o,o,o,o
633,world,NN,I-NP,o,o,o,o
634,opinion,NN,I-NP,o,o,o,o
635,.,.,o,o,o,o,o
636,,,,,,,
637,Objectives,NNP,B-NP,o,o,o,o
638,,,,,,,
639,The,DT,B-NP,o,o,o,o
640,main,JJ,I-NP,o,o,o,o
641,objectives,NNS,I-NP,o,o,o,o
642,of,IN,B-PP,o,o,o,o
643,the,DT,B-NP,o,o,o,o
644,Ministry,NNP,I-NP,o,o,o,o
