,col1
22,"The Agra Fort showing the river Yamuna and the Taj Mahal in the background
"
23,Maharaja Ranjit Singh consolidated many parts of northern India into an empire
24,"Rabindranath Tagore (1861-1941) was a Bengali language poet, short-story writer, and playwright, and in addition a music composer and painter, who won the Nobel prize for Literature in 1913"
25,"Ancient India during the rise of the Shungas from the North, Satavahanas from the Deccan, and Pandyas and Cholas from the southern tip of India"
26,"From the fifth century to the thirteenth, Åšrauta sacrifices declined, and initiatory traditions of Buddhism, Jainism or more commonly Shaivism, Vaishnavism and Shaktism expanded in royal courts"
27,"The time between the Maurya Empire in the 3rd century BCE and the end of the Gupta Empire in the 6th century CE is referred to as the ""Classical"" period of India"
28,"Particular geographical locations can form the basis of historical study, for example, continents, countries, and cities"
29,Vishnu image inside the Badami Cave Temple Complex
30,"Shrine wall relief, molding frieze and miniature decorative tower in Mallikarjuna Temple at Kuruvatti"
31,"It was from Anglo-Norman that history was borrowed into Middle English, and this time the loan stuck"
32,Hyderabad was founded by the Qutb Shahi dynasty of Golconda in 1591
33,Historical archaeology is the study of cultures with some form of writing
34,"The Central Ganges Plain, where Magadha gained prominence, forming the base of the Mauryan Empire, was a distinct cultural area,[98] with new states arising after 500Â BCE[web 1] during the so-called ""Second urbanisation"""
35,"The Pallavas, during the 4th to 9th centuries were, alongside the Guptas of the North, great patronisers of Sanskrit development in the South of the Indian subcontinent"
36,"Archaeologists around the world use drones to speed up survey work and protect sites from squatters, builders and miners"
37,"The latter Guptas successfully resisted the northwestern kingdoms until the arrival of the Alchon Huns, who established themselves in Afghanistan by the first half of the 5th century, with their capital at Bamiyan"
38,"The line of demarcation between prehistoric and historical times is crossed when people cease to live only in the present, and become consciously interested both in their past and in their future"
39,"The ""Cambridge School"", led by Anil Seal,[431] Gordon Johnson,[432] Richard Gordon, and David A"
40,"The ""subaltern school"", was begun in the 1980s by Ranajit Guha and Gyan Prakash"
41,"Map of famines in India 1800-1885
"
42,"In many countries, history textbooks are sponsored by the national government and are written to put the national heritage in the most favourable light"
43,"Computer graphics are now used to build virtual 3D models of sites, such as the throne room of an Assyrian palace or ancient Rome"
44,"Gold coin, minted 1835, with obverse showing the bust of William IV, king of United Kingdom from 21 August 1765 to 20 June 1837, and reverse marked ""Two mohurs"" in English (do ashrafi in Urdu) issued during Company rule in India
"
45,Indian Cavalry on the Western front 1914
46,"Early ""republics"" or Ga sangha, such as Shakyas, Koliyas, Mallas, and Licchavis had republican governments"
47,The Bhakti movement refers to the theistic devotional trend that emerged in medieval Hinduism and later revolutionised in Sikhism
48,"Historian Vincent Smith said about Kanishka
"
49,"Cultural resources management has, however, been criticized"
50,An inconspicuous rock mound marks the reburial site where close to 80 boxes of various sizes are buried
51,"Art, education, philosophy, and other forms of learning flowered during this period including small terracotta images, larger stone sculptures, and architectural monuments such as the Stupa at Bharhut, and the renowned Great Stupa at Sanchi"
52,It has led to highly controversial interpretations by Oswald Spengler and Arnold J
53,"Maratha Empire at its zenith in 1760 (yellow area), covering much of the Indian subcontinent, stretching from South India to present-day Pakistan"
54,"In 21st-century Germany, the history curriculum is controlled by the 16 states, and is characterized not by superpatriotism but rather by an ""almost pacifistic and deliberately unpatriotic undertone"" and reflects ""principles formulated by international organizations such as UNESCO or the Council of Europe, thus oriented towards human rights, democracy and peace"
55,The Arthashastra and the Edicts of Ashoka are the primary written records of the Mauryan times
56,"The empire linked the Indian Ocean maritime trade with the commerce of the Silk Road through the Indus valley, encouraging long-distance trade, particularly between China and Rome"
57,"However, it is not only prehistoric, pre-literate cultures that can be studied using archaeology but historic, literate cultures as well, through the sub-discipline of historical archaeology"
58,"Modern excavation techniques require that the precise locations of objects and features, known as their provenance or provenience, be recorded"
59,"India Gate is a memorial to 70,000 soldiers of the British Indian Army who died in the period 1914-21 in the First World War"
60,"The Mature Indus civilisation flourished from about 2600 to 1900Â BCE, marking the beginning of urban civilisation on the Indian subcontinent"
61,The first step toward Indian self-rule was the appointment of councillors to advise the British viceroy in 1861 and the first Indian was appointed in 1909
62,"During the Late Vedic Period, the kingdom of Videha emerged as a new centre of Vedic culture, situated even farther to the East (in what is today Nepal and Bihar state in India);[84] reaching its prominence under the king Janaka, whose court provided patronage for Brahmin sages and philosophers such as Yajnavalkya, Aruni, and Gargi Vachaknavi"
63,"The oldest hominini fossil remains in the Indian subcontinent are those of Homo erectus or Homo heidelbergensis, from the Narmada Valley in central India, and are dated to approximately half a million years ago"
64,Ornate entrance to the closed hall from the south at Kalleshvara Temple at Bagali
65,Cultural history replaced social history as the dominant form in the 1980s and 1990s
66,"Often, archaeology provides the only means to learn of the existence and behaviors of people of the past"
67,"The discipline involves surveying, excavation and eventually analysis of data collected to learn more about the past"
68,"Konark Sun Temple at Konark, Orissa, built by Narasimhadeva I (1238-1264 CE) of the Eastern Ganga dynasty"
69,"In regard to nature, events apparently the most irregular and capricious have been explained and have been shown to be in accordance with certain fixed and universal laws"
70,"Bahadur Shah Zafar the last Mughal Emperor, crowned Emperor of India by the rebels, he was deposed by the British, and died in exile in Burma
"
71,Herodotus of Halicarnassus (484 BC - ca)
72,"Professional and amateur historians discover, collect, organize, and present information about past events"
73,"Rang Ghar, built by Pramatta Singha in Ahom Kingdom's capital Rongpur, is one of the earliest pavilions of outdoor stadia in the Indian subcontinent"
74,"With the Vijayanagara Kingdom now imperial in stature, Harihara II, the second son of Bukka Raya I, further consolidated the kingdom beyond the Krishna River and brought the whole of South India under the Vijayanagara umbrella"
75,"The early rulers of this dynasty were Hindu, but the later rulers were strongly influenced by Jainism"
76,Ranakpur Jain temple was built in the 15th century with the support of the Rajput state of Mewar
77,"A picture of orphans who survived the Bengal famine of 1943
"
78,This time was one of great upheaval for ecological reasons
79,Kandariya Mahadeva Temple in the Khajuraho complex was built by the Chandelas
80,"In recent years, the relationship between African and world history has shifted rapidly from one of antipathy to one of engagement and synthesis"
81,"Archaeologists prize local knowledge and often liaise with local historical and archaeological societies, which is one reason why Community archaeology projects are starting to become more common"
82,"The next to arrive were the Dutch, with their main base in Ceylon"
83,"Ronald Ross, left, at Cunningham's laboratory of Presidency Hospital in Calcutta, where the transmission of malaria by mosquitoes was discovered, winning Ross the second Nobel Prize for Physiology or Medicine in 1902"
84,The Pala Empire was founded by Gopala I
85,"During World War I, over 800,000 volunteered for the army, and more than 400,000 volunteered for non-combat roles, compared with the pre-war annual recruitment of about 15,000 men"
86,The application of CRM in the United Kingdom is not limited to government-funded projects
87,"In Europe, philosophical interest in the remains of Greco-Roman civilization and the rediscovery of classical culture began in the late Middle Age"
88,Mausoleum of Ghiyasuddin Tughluq in Tughluqabad
89,Shikhara of Indra Sabha at Ellora Caves
90,The Pala Empire can be considered as the golden era of Bengal in many ways
91,"It was the second largest empire to have existed in the Indian subcontinent,[324] and surpassed China to be become the world's largest economic power, controlling 24"
92,The second form of asserting power involved treaties in which Indian rulers acknowledged the Company's hegemony in return for limited internal autonomy
93,"Historians write in the context of their own time, and with due regard to the current dominant ideas of how to interpret the past, and sometimes write to provide lessons for their own society"
94,"As Historians like Ranke and many who followed him have pursued it, no, history is not a science"
95,"Bal Gangadhar Tilak, an Indian nationalist leader, declared Swaraj as the destiny of the nation"
96,"Relief of a multi-storied temple, 2nd century CE, Ghantasala Stupa"
97,"In January 1946, a number of mutinies broke out in the armed services, starting with that of RAF servicemen frustrated with their slow repatriation to Britain"
98,"As a consequence of this, American Indians attempted to prevent archaeological excavation of sites inhabited by their ancestors, while American archaeologists believed that the advancement of scientific knowledge was a valid reason to continue their studies"
99,"Stories common to a particular culture, but not supported by external sources (such as the tales surrounding King Arthur), are usually classified as cultural heritage or legends, because they do not show the ""disinterested investigation"" required of the discipline of history"
100,"After the downfall of the prior Gupta Empire in the middle of the 6th century, North India reverted to smaller republics and monarchical states"
101,Buddhist monks praying in front of the Dagoba of Chaitya Cave 26 of the Ajanta Caves
102,Archaeologists have also been obliged to re-examine what constitutes an archaeological site in view of what native peoples believe to constitute sacred space
103,"During this period, Bengal witnessed an intellectual awakening that is in some way similar to the Renaissance"
104,"By the early 18th century, the Maratha Kingdom had transformed itself into the Maratha Empire under the rule of the Peshwas (prime ministers)"
105,Drones costing as little as Â£650 have proven useful
106,"An archaeological investigation usually involves several distinct phases, each of which employs its own variety of methods"
107,"In the 7th century CE, Kuma formulated his school of Mimamsa philosophy and defended the position on Vedic rituals against Buddhist attacks"
108,"Fatehpur Sikri, near Agra, showing Buland Darwaza, the complex built by Akbar, the third Mughal emperor"
109,"The Nanda Empire, at its greatest extent, extended from Bengal in the east, to the Punjab region in the west and as far south as the Vindhya Range"
110,Gupta Empire expansion from 320Â CE to 550Â CE
111,"Humayun's Tomb in Delhi, built in 1570 CE"
112,"By the ""rich ore"" Spencer meant scientific theory of history"
113,"In addition to their scientific importance, archaeological remains sometimes have political or cultural significance to descendants of the people who produced them, monetary value to collectors, or simply strong aesthetic appeal"
114,"An 1868 photograph of the ruins of the Vijayanagara Empire at Hampi, now a UNESCO World Heritage Site
"
115,"McNeill wrote The Rise of the West (1963) to improve upon Toynbee by showing how the separate civilizations of Eurasia interacted from the very beginning of their history, borrowing critical skills from one another, and thus precipitating still further change as adjustment between traditional old and borrowed new knowledge and practice became necessary"
116,"Gol Gumbaz built by the Bijapur Sultanate, has the second largest pre-modern dome in the world after the Byzantine Hagia Sophia"
117,Ruled by three dynasties Varmanas 
118,Historical study often focuses on events and developments that occur in particular blocks of time
119,Kennewick Man is another repatriation candidate that has been the source of heated debate
120,"The history of the world is the memory of the past experience of Homo sapiens sapiens around the world, as that experience has been preserved, largely in written records"
121,"Late in 1946, the Labour government decided to end British rule of India, and in early 1947 Britain announced its intention of transferring power no later than June 1948 and participating in the formation of an interim government"
122,"The Indian National Congress, denounced Nazi Germany but would not fight it or anyone else until India was independent"
123,"The Gupta period was noted for cultural creativity, especially in literature, architecture, sculpture, and painting"
124,"According to consensus in modern genetics, anatomically modern humans first arrived on the Indian subcontinent from Africa between 73,000 and 55,000 years ago"
125,Srinivasa Ramanujan (1887-1920) was an Indian mathematician who made seminal contributions to Number Theory
126,In the 2ndÂ millenniumÂ BCE widespread aridification occurred in the Eurasian steppes and south Asia
127,In the early 18th century the Maratha Empire extended suzerainty over the Indian subcontinent
128,One audience for archaeologists' work is the public
129,"Shunga royal family, 1st century BCE"
130,Galaganatha Temple at Pattadakal complex (UNESCO World Heritage) is an example of Badami Chalukya architecture
131,"From the 8th to the 10th century, three dynasties contested for control of northern India: the Gurjara Pratiharas of Malwa, the Palas of Bengal, and the Rashtrakutas of the Deccan"
132,"The Vijayanagara Emperors were tolerant of all religions and sects, as writings by foreign visitors show"
133,"The empire's legacy includes many monuments spread over South India, the best known of which is the group at Hampi"
134,"In the United States, examples such as the case of Kennewick Man have illustrated the tensions between Native Americans and archaeologists, which can be summarized as a conflict between a need to remain respectful toward sacred burial sites and the academic benefit from studying them"
135,"In the 20th century, academic historians focused less on epic nationalistic narratives, which often tended to glorify the nation or great men, to more objective and complex analyses of social and intellectual forces"
136,"For two and a half centuries from the mid 13th century, politics in Northern India was dominated by the Delhi Sultanate, and in Southern India by the Vijayanagar Empire"
137,Chariot detail at Airavatesvara Temple built by Rajaraja Chola II in the 12th century CE
138,"Before actually starting to dig in a location, remote sensing can be used to look where sites are located within a large area or provide more information about sites or regions"
139,"The next major figure in the development of archaeology was Sir Mortimer Wheeler, whose highly disciplined approach to excavation and systematic coverage in the 1920s and 1930s brought the science on swiftly"
140,"Ethnoarchaeology is the ethnographic study of living people, designed to aid in our interpretation of the archaeological record"
141,"By the 10th century, several feudatories of the empire took advantage of the temporary weakness of the Gurjara-Pratiharas to declare their independence, notably the Paramaras of Malwa, the Chandelas of Bundelkhand, the Kalachuris of Mahakoshal, the Tomaras of Haryana, and the Chauhans of Rajputana"
142,"Emperor Kanishka was a great patron of Buddhism; however, as Kushans expanded southward, the deities of their later coinage came to reflect its new Hindu majority"
143,"The Hindu Shahi dynasty ruled portions of eastern Afghanistan, northern Pakistan, and Kashmir from the mid-7th century to the early 11th century"
144,Jain Tirthankara Mahavira with Yaksha Matanga and Yakshi Siddhaiki at Ellora Caves
145,"Surya Sen, leader of the Chittagong armoury raid, an raid on 18 April 1930 on the armoury of police and auxiliary forces in Chittagong, Bengal, now Bangladesh
"
146,"From the successive strata of our historical deposits, they [Historians] diligently gather all the highly colored fragments, pounce upon everything that is curious and sparkling and chuckle like children over their glittering acquisitions; meanwhile the rich veins of wisdom that ramify amidst this worthless debris, lie utterly neglected"
147,"The famous emperor Akbar the Great, who was the grandson of Babar, tried to establish a good relationship with the Hindus"
148,"Archaeology, or archeology,  is the study of human activity through the recovery and analysis of material culture"
149,"The Marxist theory of historical materialism theorises that society is fundamentally determined by the material conditions at any given time - in other words, the relationships which people have with each other in order to fulfill basic needs such as feeding, clothing and housing themselves and their families"
150,"Indian Army and Imperial Service Troops fought during the Sinai and Palestine Campaign's defence of the Suez Canal in 1915, at Romani in 1916 and to Jerusalem in 1917"
151,"A map of the prevailing religions of the British Indian empire based on district-wise majorities based on the Indian census of 1909, and published in the Imperial Gazetteer of India"
152,One of the major achievements of 19th-century archaeology was the development of stratigraphy
153,"Among the goals of CRM are the identification, preservation, and maintenance of cultural sites on public and private lands, and the removal of culturally valuable materials from areas where they would otherwise be destroyed by human activity, such as proposed construction"
154,"From the origins of national school systems in the 19th century, the teaching of history to promote national sentiment has been a high priority"
155,"After the outbreak of the mutiny in Meerut, the rebels very quickly reached Delhi"
156,"Regional survey in underwater archaeology uses geophysical or remote sensing devices such as marine magnetometer, side-scan sonar, or sub-bottom sonar"
157,"In related disciplines, such as art history and architectural history, global perspectives have been promoted as well"
158,"Many foreign ambassadors, representatives, and travelers are included as devotees attending the Buddha's descent from Trayastrimsa Heaven; painting from Cave 17 of the Ajanta Caves"
159,"Academic historians have often fought against the politicization of the textbooks, sometimes with success"
160,Geophysical survey can be the most effective way to see beneath the ground
161,"On the steppes, the vegetation changed, driving ""higher mobility and transition to the nomadic cattle breeding"
162,"At the university level, historians debate the question of whether history belongs more to social science or to the humanities"
163,Hegel termed the lens which he advocated to view world history through as Philosophical History
164,"The Shungas originated from Magadha, and controlled areas of the central and eastern Indian subcontinent from around 187 to 78 BCE"
165,"The field of history generally leaves prehistory to the archaeologists, who have entirely different sets of tools and theories"
166,"Dargahs of Sufi-saint Nizamuddin Auliya, and poet and musician Amir Khusro in Delhi"
167,A second-day cancellation of the stamps issued in February 1931 to commemorate the inauguration of New Delhi as the capital of the British Indian Empire
168,"Around the same time, Mahavira (the 24th Tirthankara in Jainism) propagated a theology that was to later become Jainism"
169,"While this cooperation presents a new set of challenges and hurdles to fieldwork, it has benefits for all parties involved"
170,"The Western Chalukyas developed an architectural style known today as a transitional style, an architectural link between the style of the early Chalukya dynasty and that of the later Hoysala empire"
171,Jawaharlal Nehru being sworn in as the first prime minister of independent India by viceroy Lord Louis Mountbatten at 8:30 AM 15 August 1947
172,The historical method comprises the techniques and guidelines by which historians use primary sources and other evidence to research and then to write history
173,"A major figure in the development of archaeology into a rigorous science was the army officer and ethnologist, Augustus Pitt Rivers, who began excavations on his land in England in the 1880s"
174,"Regna Darnell and Frederic Gleach argue that, in the Soviet Union, the Marxian theory of history was the only accepted orthodoxy, and stifled research into other schools of thought on history"
175,"The late medieval period is marked by repeated invasions of the Muslim Central Asian nomadic clans, the rule of the Delhi sultanate, and by the growth of other dynasties and empires, built upon military technology of the Sultanate"
176,"Under Madhavrao I, the strongest knights were granted semi-autonomy, creating a confederacy of Maratha states under the Gaekwads of Baroda, the Holkars of Indore and Malwa, the Scindias of Gwalior and Ujjain, the Bhonsales of Nagpur and the Puars of Dhar and Dewas"
177,"The Marxist theory of historical materialism claims the history of the world is fundamentally determined by the material conditions at any given time- in other words, the relationships which people have with each other in order to fulfil basic needs such as feeding, clothing and housing themselves and their families"
178,"From the mid-18th century to the mid-19th century, large regions of India were gradually annexed by the East India Company, a chartered company acting as a sovereign power on behalf of the British government"
179,"In the 14th century BCE,the Battle of the Ten Kings, between the Puru Vedic Aryan tribal kingdoms of the Bharatas, allied with other tribes of the Northwest India, guided by the royal sage Vishvamitra, and the Trtsu-Bharata (Puru) king Sudas, who defeats other Vedic tribesâ€”leading to the emergence of the Kuru Kingdom, first state level society during the Vedic period"
180,"From the late 19th century, and especially after 1920, under the leadership of Mahatma Gandhi (right), the Congress became the principal leader of the Indian independence movement"
181,The simplest survey technique is surface survey
182,"The Delhi Sultanate was a Muslim sultanate based in Delhi, ruled by several dynasties of Turkic, Turko-Indian and Pathan origins"
183,"Photograph (1855) showing the construction of the Bhor Ghaut incline bridge, Bombay; the incline was conceived by George Clark, the Chief Engineer in the East India Company's Government of Bombay"
184,"During Company rule in India and the British Raj, famines in India were some of the worst ever recorded"
185,Sikh soldiers of the British Indian army being executed by the Japanese
186,Ancient influences have helped spawn variant interpretations of the nature of history which have evolved over the centuries and continue to change today
187,"This definition includes within the scope of history the strong interests of peoples, such as Indigenous Australians and New Zealand MÄori in the past, and the oral records maintained and transmitted to succeeding generations, even before their contact with European civilization"
188,"Archaeology is a discipline that is especially helpful in dealing with buried sites and objects, which, once unearthed, contribute to the study of history"
189,"From, Tryst with destiny, a speech given by Jawaharlal Nehru to the Constituent Assembly of India on the eve of independence, 14 August 1947"
190,"Gandhi touring  touring Bela, Bihar, a village struck by religious rioting in March 1947"
191,"These techniques frequently provide information that would not otherwise be known, and therefore they contribute greatly to the understanding of a site"
192,All events that are remembered and preserved in some authentic form constitute the historical record
193,They had to compete with the Shunga Empire and then the Kanva dynasty of Magadha to establish their rule
194,Historians have analysed the Vedas to posit a Vedic culture in the Punjab region and the upper Gangetic Plain
195,"The early modern period of Indian history is dated from 1526 CE to 1858 CE, corresponding to the rise and fall of the Mughal Empire, during which India's economy expanded, relative peace was maintained and arts were patronized"
196,Harsha ruled northern India from 606 to 647 CE
197,"Lakshmibai, the Rani of Jhansi, one of the principal leaders of the rebellion who earlier had lost her kingdom as a result of the Doctrine of Lapse"
198,"Watercolor (1863) titled, ""The Ganges Canal, Roorkee, Saharanpur District "
199,"In 1526, Babur, a Timurid descendant of Timur and Genghis Khan from Fergana Valley (modern day Uzbekistan), swept across the Khyber Pass and established the Mughal Empire, which at its zenith covered much of South Asia"
200,"The advent of world history as a distinct academic field of study can be traced to the 1960s, but the pace quickened in the 1980s"
201,Pseudoarchaeology is an umbrella term for all activities that falsely claim to be archaeological but in fact violate commonly accepted and scientific archaeological practices
202,"Chandragupta rapidly expanded his power westwards across central and western India, and by 317Â BCE the empire had fully occupied Northwestern India"
203,"In sincere opposition to the claims of history as a social science, historians such as Hugh Trevor-Roper, John Lukacs, Donald Creighton, Gertrude Himmelfarb and Gerhard Ritter argued that the key to the historians' work was the power of the imagination, and hence contended that history should be understood as an art"
204,"The Vedic period is named after the Indo-Aryan culture of north-west India, although other parts of India had a distinct cultural identity during this period"
205,One of the four entrances of the Teli ka Mandir
206,"The history of religion has been a main theme for both secular and religious historians for centuries, and continues to be taught in seminaries and academe"
207,"Spengler's Decline of the West (2 vol 1919-1922) compared nine organic cultures: Egyptian (3400 BC-1200 BC), Indian (1500 BC-1100 BC), Chinese (1300 BC-AD 200), Classical (1100 BC-400 BC), Byzantine (AD 300-1100), Aztec (AD 1300-1500), Arabian (AD 300-1250), Mayan (AD 600-960), and Western (AD 900-1900)"
208,"The Nationalist school has focused on Congress, Gandhi, Nehru and high level politics"
209,"Martand Sun Temple Central shrine, dedicated to the deity Surya, and built by the third ruler of the Karkota dynasty, Lalitaditya Muktapida, in the 8th century CE"
210,"Military history concerns warfare, strategies, battles, weapons, and the psychology of combat"
211,The empire went into decline thereafter
212,"Early archaeology was largely an attempt to uncover spectacular artifacts and features, or to explore vast and mysterious abandoned cities and was mostly done by upper class, scholarly men"
213,"Jeffrey Quilter, an archaeologist with Harvard University said, ""You can go up three metres and photograph a room, 300 metres and photograph a site, or you can go up 3,000 metres and photograph the entire valley"
214,"The Indus Valley Civilisation did not disappear suddenly, and some elements of the Indus Civilisation may have survived, especially in the smaller villages and isolated farms"
215,Samudragupta's 4th-century Allahabad pillar inscription mentions Kamarupa (Western Assam) and Davaka (Central Assam) as frontier kingdoms of the Gupta Empire
216,The Ajanta Caves are 30 rock-cut Buddhist cave monument built under the Vakatakas
217,"More recently, Hindu nationalists have created a version of history to support their demands for ""Hindutva"" (""Hinduness"") in Indian society"
218,"Gender history is a sub-field of History and Gender studies, which looks at the past from the perspective of gender"
219,The first session of the Indian National Congress in 1885
220,William Flinders Petrie is another man who may legitimately be called the Father of Archaeology
221,"Kushan territories (full line) and maximum extent of Kushan dominions under Kanishka (dotted line), according to the Rabatak inscription"
222,"Indian ship on lead coin of Vasisthiputra Sri Pulamavi, testimony to the naval, seafaring and trading capabilities of the SÄtavÄhanas during the 1st-2nd century CE"
223,"The numbers of British in India were small, yet they were able to rule 52% of the Indian subcontinent directly and exercise considerable leverage over the princely states that accounted for 48% of the area"
224,"The current structure of the Mahabodhi Temple dates to the Gupta era, 5th century CE"
225,"The Company's victory under Robert Clive in the 1757 Battle of Plassey and another victory in the 1764 Battle of Buxar (in Bihar), consolidated the Company's power, and forced emperor Shah Alam II to appoint it the diwan, or revenue collector, of Bengal, Bihar, and Orissa"
226,The Sanskrit epics Ramayana and Mahabharata were composed during this period
227,"The most significant event between the 7th and 11th century was the Tripartite struggle centred on Kannauj that lasted for more than two centuries between the Pala Empire, Rashtrakuta Empire, and Gurjara-Pratihara Empire"
228,"This view is often espoused in works of popular fiction, such as Raiders of the Lost Ark, The Mummy, and King Solomon's Mines"
229,"The civilisation was primarily located in modern-day India (Gujarat, Haryana, Punjab, Rajasthan, Uttar Pradesh, Jammu and Kashmir states)[47] and Pakistan (Sindh, Punjab, and Balochistan provinces),[47] while some sites in Afghanistan are believed to be trading colonies"
230,There is no one approach to archaeological theory that has been adhered to by all archaeologists
231,"One of the most important events of the 19th century was the rise of Indian nationalism,leading Indians to seek first ""self-rule"" and later ""complete independence"""
232,"The Red Fort, Delhi, its construction begun in 1639 CE, and ended in 1648 CE"
233,The Ähanas were based from Amaravati in Andhra Pradesh as well as Junnar (Pune) and Prathisthan (Paithan) in Maharashtra
234,"Archaeology can be a subsidiary activity within Cultural resources management (CRM), also called Cultural heritage management (CHM) in the United Kingdom"
235,A new trend in the heated controversy between First Nations groups and scientists is the repatriation of native artifacts to the original descendants
236,"The study of world history, as distinct from national history, has existed in many world cultures"
237,Ghateshwara Mahadeva temple at Baroli Temples complex
238,"The Maratha kingdom was founded and consolidated by Chatrapati Shivaji, a Maratha aristocrat of the Bhonsle clan"
239,The internal conflicts among Indian kingdoms gave opportunities to the European traders to gradually establish political influence and appropriate lands
240,Brihadeeswara Temple Entrance Gopurams at Thanjavur
241,"The Palas were followers of the Mahayana and Tantric schools of Buddhism,they also patronised Shaivism and Vaishnavism"
242,"The first four are known as historical criticism; the fifth, textual criticism; and, together, external criticism"
243,"Henry Home, Lord Kames was a philosopher during the Enlightenment and contributed to the study or world history"
244,"As with most academic disciplines, there are a very large number of archaeological sub-disciplines characterized by a specific method or type of material (e"
245,"Islamic conquests made limited inroads into modern Afghanistan and Sindh as early as the 8th century,[18] and the Delhi Sultanate was founded in 1206Â CE by Central Asian Turks who ruled a major part of the northern Indian subcontinent in the early 14th century, but declined in the late 14th century"
246,An example of this type is the writing of Erich von DÃ¤niken
247,"In the UK, popular archaeology programs such as Time Team and Meet the Ancestors have resulted in a huge upsurge in public interest"
248,Pallavas reached the height of power during the reign of Mahendravarman I (571-630 CE) and Narasimhavarman I (630-668 CE) and dominated the Telugu and northern parts of the Tamil region for about six hundred years until the end of the 9th century
249,Experimental archaeology represents the application of the experimental method to develop more highly controlled observations of processes that create and impact the archaeological record
250,"In several countries history textbooks are tools to foster nationalism and patriotism, and give students the official line about national enemies"
251,"The Marxists have focused on studies of economic development, landownership, and class conflict in precolonial India and of deindustrialisation during the colonial period"
252,"Indian infantrymen of the 7th Rajput Regiment about to go on patrol on the Arakan front in Burma, 1944"
253,Pseudohistory is a term applied to texts which purport to be historical in nature but which depart from standard historiographical conventions in a way which undermines their conclusions
254,"Reflective History, Hegels second lens, are documents written with some temporal distance separating the event which is discussed in the academic writing"
255,In early second millennium BCE persistent drought caused the population of the Indus Valley to scatter from large urban centres to villages
256,Vijayanagara went into decline after the defeat in the Battle of Talikota (1565)
257,"The SÄtavÄhanas are known for their patronage of Hinduism and Buddhism, which resulted in Buddhist monuments from Ellora (a UNESCO World Heritage Site) to Amaravati"
258,"Archaeologists study human prehistory and history, from the development of the first stone tools at Lomekwi in East Africa 3"
259,"In 1905, Lord Curzon split the large province of Bengal into a largely Hindu western half and ""Eastern Bengal and Assam"", a largely Muslim eastern half"
260,"Although some archaeologists consider the use of metal detectors to be tantamount to treasure hunting, others deem them an effective tool in archaeological surveying"
261,"The Iron Age in the Indian subcontinent from about 1200Â BCE to the 6th century BCE is defined by the rise of Janapadas, which are realms, republics and kingdoms notably the Iron Age Kingdoms of Kuru, Panchala, Kosala, Videha"
262,In the 18th century the whole of Rajputana was virtually subdued by the Marathas
263,"In the West, historians developed modern methods of historiography in the 17th and 18th centuries, especially in France and Germany"
264,"Hominins expansion from Africa is estimated to have reached the Indian subcontinent approximately two million years ago, and possibly as early as 2"
265,In September 2014 drones weighing about 5Â kg (11Â lb) were used for 3D mapping of the above-ground ruins of the Greek city of Aphrodisias
266,"History also includes the academic discipline which uses a narrative to examine and analyse a sequence of past events, and objectively determine the patterns of cause and effect that determine them"
